case_number,has_facts_header
2024_SGHC_314,True
2024_SGCA_59,True
2024_SGHC_316,False
2024_SGHC_317,True
2024_SGHC_315,False
2024_SGHCA_37,True
2024_SGHC_310,True
2024_SGHC_311,True
2024_SGHCF_47,False
2024_SGHC_312,True
2024_SGHC_313,True
2024_SGCA_58,True
2024_SGHC_306,True
2024_SGHC_309,True
2024_SGHC_308,True
2024_SGHC_307,False
2024_SGCA_57,True
2024_SGHCA_36,True
2024_SGHC_303,True
2024_SGHCF_46,False
2024_SGHC_296,True
2024_SGHCA_35,True
2024_SGHC_304,True
2024_SGCA_55,True
2024_SGHC_302,True
2024_SGCA_56,True
2024_SGCAI_9,True
2024_SGHC_298,True
2024_SGHC_299,True
2024_SGHC_301,True
2024_SGHC_300,True
2024_SGCA_54,True
2024_SGHC_297,False
2024_SGCA_53,True
2024_SGCA_52,False
2024_SGHC_294,True
2024_SGHC_295,False
2024_SGHC_293,True
2024_SGHCR_13,True
2024_SGHCA_34,True
2024_SGCA_51,True
2024_SGHC_286,True
2024_SGHC_292,True
2024_SGCA_50,True
2024_SGHCF_44,False
2024_SGHCF_45,False
2024_SGHC_291,False
2024_SGHCF_43,False
2024_SGCA_49,True
2024_SGHC_290,True
2024_SGHCF_42,False
2024_SGHC_289,True
2024_SGHCA_33,True
2024_SGHC_285,False
2024_SGHC_283,True
2024_SGCA_48,True
2024_SGHCF_41,False
2024_SGHC_287,False
2024_SGHC_288,True
2024_SGHC_284,False
2024_SGHC_282,True
2024_SGHC_281,False
2024_SGHCR_12,False
2024_SGHCF_40,False
2024_SGHCF_39,False
2024_SGHC_278,False
2024_SGHC_279,True
2024_SGCA_46,True
2024_SGCAI_8,True
2024_SGHC_280,True
2024_SGHCF_38,False
2024_SGCA_45,True
2024_SGHC_275,True
2024_SGHC_277,True
2024_SGHC_276,True
2024_SGHC_274,True
2024_SGHCI_31,True
2024_SGHC_273,True
2024_SGCA_44,True
2024_SGHC_272,True
2024_SGHC_271,True
2024_SGCA_43,True
2024_SGHC_269,False
2024_SGCA_42,True
2024_SGHC_268,True
2024_SGHC_270,True
2024_SGHC_266,True
2024_SGHC_255,True
2024_SGHC_267,False
2024_SGHC_264,True
2024_SGHC_265,True
2024_SGHC_249,False
2024_SGHCI_30,False
2024_SGHC_263,True
2024_SGCA_41,True
2024_SGHCF_37,False
2024_SGHC_261,False
2024_SGHC_262,False
2024_SGHC_256,True
2024_SGHCI_29,False
2024_SGCA_40,True
2024_SGHC_260,True
2024_SGHCR_11,True
2024_SGCA_39,False
2024_SGHC_257,True
2024_SGHC_259,False
2024_SGHC_258,False
2024_SGHC_252,True
2024_SGHCA_32,True
2024_SGHCF_36,True
2024_SGHC_254,False
2024_SGHCA_31,True
2024_SGCAI_7,True
2024_SGHC_253,True
2024_SGHCI_28,False
2024_SGHC_251,True
2024_SGCA_38,True
2024_SGHCF_34,False
2024_SGHC_250,True
2024_SGHC_248,True
2024_SGCA_37,True
2024_SGHC_247,True
2024_SGHCI_27,False
2024_SGHCA_30,True
2024_SGHC_246,True
2024_SGHCF_33,False
2024_SGCA_36,True
2024_SGHC_245,True
2024_SGHCA_29,False
2024_SGHC_244,True
2024_SGHC_243,True
2024_SGHCA_28,False
2024_SGHC_241,True
2024_SGHC_242,True
2024_SGHC_238,True
2024_SGHC_239,True
2024_SGHC_240,True
2024_SGHC_237,False
2024_SGHC_236,True
2024_SGHC_235,True
2024_SGHC_234,True
2024_SGHCA_27,True
2024_SGHCA_26,True
2024_SGCAI_6,True
2024_SGCA_35,False
2024_SGHC_232,True
2024_SGHC_231,True
2024_SGHC_233,True
2024_SGHC_230,True
2024_SGHCI_26,False
2024_SGHC_229,True
2024_SGCA_34,True
2024_SGHC_228,False
2024_SGHC_227,True
2024_SGHCA_25,True
2024_SGHC_226,True
2024_SGHCF_32,False
2024_SGHCF_31,False
2024_SGHC_225,False
2024_SGHCR_10,True
2024_SGHC_224,False
2024_SGHC_223,True
2024_SGHC_221,True
2024_SGHC_222,True
2024_SGHCF_30,False
2024_SGHCI_25,False
2024_SGHC_218,True
2024_SGHC_220,True
2024_SGHC_219,True
2024_SGHCA_24,True
2024_SGHC_213,True
2024_SGCA_33,True
2024_SGCA_32,True
2024_SGHCR_9,True
2024_SGHC_217,False
2024_SGCA_31,True
2024_SGHC_215,True
2024_SGHC_214,False
2024_SGHCI_23,True
2024_SGHC_216,True
2024_SGCA_30,True
2024_SGHCR_8,False
2024_SGHC_212,True
2024_SGHC_211,True
2024_SGHCI_24,True
2024_SGHC_208,True
2024_SGHC_209,False
2024_SGHC_207,True
2024_SGCA_29,True
2024_SGHC_206,True
2024_SGHC_205,True
2024_SGHCF_29,False
2024_SGHC_204,True
2024_SGHC_203,True
2024_SGCA_28,True
2024_SGHC_201,True
2024_SGCA_27,True
